GROMACS
full-atom                                                        
name                      bond_type    epsilon(kcal/mol)                     sigma(Å)
opls_001                      C                      0.105                      3.75
opls_002                      O                      0.21                      2.96
opls_003                      N                      0.17                      3.25
opls_004                      H                      0                      0
opls_005                      C2                      0.118                      3.8
opls_006                      CH                      0.08                      3.8
opls_007                      C3                      0.16                      3.91
opls_008                      CH                      0.08                      3.85
opls_009                      C2                      0.118                      3.905
opls_010                      C3                      0.175                      3.905
opls_011                      CD                      0.11                      3.75
opls_012                      N                      0.17                      3.25
opls_013                      H                      0                      0
opls_014                      CH                      0.08                      3.8
opls_015                      C2                      0.118                      3.8
opls_016                      C2                      0.118                      3.905
opls_017                      C                      0.105                      3.75
opls_018                      O2                      0.21                      2.96
opls_019                      C2                      0.118                      3.905
opls_020                      N3                      0.17                      3.25
opls_021                      H3                      0                      0
opls_022                      C2                      0.118                      3.905
opls_023                      OH                      0.17                      3.07
opls_024                      HO                      0                      0
opls_025                      CH                      0.08                      3.85
opls_026                      C                      0.11                      3.75
opls_027                      C2                      0.118                      3.8
opls_028                      C2                      0.118                      3.8
opls_029                      CH                      0.08                      3.8
opls_030                      CH                      0.08                      3.8
opls_031                      C2                      0.118                      3.905
opls_032                      SH                      0.25                      3.55
opls_033                      HS                      0                      0
opls_034                      C2                      0.118                      3.8
opls_035                      S                      0.25                      3.55
opls_036                      C3                      0.17                      3.8
opls_037                      C2                      0.118                      3.8
opls_038                      S                      0.25                      3.55
opls_039                      C3                      0.17                      3.8
opls_040                      NA                      0.17                      3.25
opls_041                      H                      0                      0
opls_042                      NB                      0.17                      3.25
opls_043                      CP                      0.145                      3.75
opls_044                      CF                      0.145                      3.75
opls_045                      CC                      0.145                      3.75
opls_046                      NA                      0.17                      3.25
opls_047                      H                      0                      0
opls_048                      CP                      0.145                      3.75
opls_049                      CG                      0.145                      3.75
opls_050                      CB                      0.145                      3.75
opls_051                      N2                      0.17                      3.25
opls_052                      H3                      0                      0
opls_053                      CA                      0.05                      2.25
opls_054                      N2                      0.17                      3.25
opls_055                      H3                      0                      0
opls_056                      C2                      0.118                      3.905
opls_057                      C2                      0.118                      3.905
opls_058                      C                      0.105                      3.75
opls_059                      O                      0.21                      2.96
opls_060                      CH                      0.08                      3.8
opls_061                      C2                      0.118                      3.8
opls_062                      OS                      0.17                      3
opls_063                      C3                      0.17                      3.8
opls_064                      CT                      0.05                      3.8
opls_065                      C3                      0.145                      3.96
opls_066                      C4                      0.294000956                      3.73
opls_067                      C3                      0.207                      3.775
opls_068                      C3                      0.175                      3.905
opls_069                      C3                      0.16                      3.91
opls_070                      C3                      0.145                      3.96
opls_071                      C2                      0.118                      3.905
opls_072                      C9                      0.14                      3.85
opls_073                      CH                      0.08                      3.85
opls_074                      C8                      0.115                      3.8
opls_075                      CD                      0.11                      3.75
opls_076                      CT                      0.05                      3.8
opls_077                      C7                      0.105                      3.75
opls_078                      OH                      0.17                      3.07
opls_079                      HO                      0                      0
opls_080                      C3                      0.207                      3.775
opls_081                      C2                      0.118                      3.905
opls_082                      SH                      0.25                      3.7
opls_083                      SH                      0.25                      3.55
opls_084                      S                      0.25                      3.55
opls_085                      S                      0.25                      3.55
opls_086                      HS                      0                      0
opls_087                      HS                      0                      0
opls_088                      C3                      0.207                      3.775
opls_089                      C2                      0.118                      3.905
opls_090                      C3                      0.17                      3.8
opls_091                      C2                      0.118                      3.8
opls_092                      C3                      0.17                      3.8
opls_093                      C2                      0.118                      3.8
opls_094                      N                      0.17                      3.2
opls_095                      C                      0.15                      3.65
opls_096                      C3                      0.207                      3.775
